Name,Created,Created By,Last Edited Time,Participants,Type
13 Feb,"February 13, 2023 3:51 PM",Jon,"February 13, 2023 5:45 PM","Jon, asdasd, Joel, Shin thant te aung, Jeff Lee",Presentation Prep
10 Feb,"February 10, 2023 7:09 PM",Jon,"February 10, 2023 8:46 PM","Jon, asdasd, Joel, Shin thant te aung, Jeff Lee",slides prep
9 Feb,"February 9, 2023 10:28 AM",Jeff Lee,"February 9, 2023 10:49 AM","Jon, asdasd, Joel, Shin thant te aung, Jeff Lee",Presentation Prep
30 Jan,"January 30, 2023 1:07 PM",Jeff Lee,"February 3, 2023 12:53 AM",,
18 Jan,"January 18, 2023 1:38 PM",Shin thant te aung,"January 18, 2023 2:07 PM",,Standup
11 Jan,"January 11, 2023 2:50 PM",Jon,"January 11, 2023 3:27 PM",,
05 Jan,"January 5, 2023 6:10 PM",Jon,"January 5, 2023 7:08 PM",,
30 Dec,"December 30, 2022 6:10 PM",Jeff Lee,"December 30, 2022 6:44 PM",,Standup
22 Dec,"December 22, 2022 6:09 PM",asdasd,"December 22, 2022 6:55 PM",,
12 Dec,"December 12, 2022 2:20 PM",Shin thant te aung,"December 12, 2022 7:53 PM",,
5 Dec,"December 5, 2022 1:53 PM",Shin thant te aung,"December 5, 2022 2:47 PM",,
30 Nov,"November 30, 2022 1:29 PM",Shin thant te aung,"November 30, 2022 1:40 PM",,
28 Nov,"November 28, 2022 2:23 PM",Shin thant te aung,"November 28, 2022 3:16 PM",,
Vincent Phua,"November 16, 2022 3:37 PM",Shin thant te aung,"November 16, 2022 7:05 PM",,Weekly Sync
16 Nov Teacher Consultation,"November 16, 2022 2:06 PM",Shin thant te aung,"November 16, 2022 7:05 PM",,Standup
Workflow,"November 14, 2022 2:26 PM",Joel,"November 14, 2022 3:45 PM",,Design Systems
AI Idea,"November 11, 2022 11:56 AM",Shin thant te aung,"November 11, 2022 2:40 PM",,Ad Hoc
Clarification of Dating App Idea,"November 11, 2022 11:45 AM",Shin thant te aung,"November 11, 2022 2:40 PM",,Standup
ISPJ lesson discussion,"November 9, 2022 2:50 PM",Jon,"November 11, 2022 11:40 AM",,Standup
w4,"November 8, 2022 1:27 AM",Shin thant te aung,"November 9, 2022 9:50 AM",,Weekly Sync
